city,state,cities_links,file
distrito-federal,distrito-federal,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/distrito-federal-bandeira-mini-brcodf0100100108.jpg,data/flags/distrito-federal-bandeira-mini-brcodf0100100108.jpg
abaira,bahia,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-abaira-bandeira-mini-brneba0602300108.jpg,data/flags/municipio-abaira-bandeira-mini-brneba0602300108.jpg
abare,bahia,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-abare-bandeira-mini-brneba0200500207.jpg,data/flags/municipio-abare-bandeira-mini-brneba0200500207.jpg
acajutiba,bahia,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-acajutiba-bandeira-mini-brneba0401700306.jpg,data/flags/municipio-acajutiba-bandeira-mini-brneba0401700306.jpg
adustina,bahia,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-adustina-bandeira-mini-brneba0401500355.jpg,data/flags/municipio-adustina-bandeira-mini-brneba0401500355.jpg
agua-fria,bahia,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-agua-fria-bandeira-mini-brneba0301200405.jpg,data/flags/municipio-agua-fria-bandeira-mini-brneba0301200405.jpg
aiquara,bahia,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-aiquara-bandeira-mini-brneba0602400603.jpg,data/flags/municipio-aiquara-bandeira-mini-brneba0602400603.jpg
alagoinhas,bahia,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-alagoinhas-bandeira-mini-brneba0401700702.jpg,data/flags/municipio-alagoinhas-bandeira-mini-brneba0401700702.jpg
alcobaca,bahia,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-alcobaca-bandeira-mini-brneba0703200801.jpg,data/flags/municipio-alcobaca-bandeira-mini-brneba0703200801.jpg
almadina,bahia,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-almadina-bandeira-mini-brneba0703100900.jpg,data/flags/municipio-almadina-bandeira-mini-brneba0703100900.jpg
